product_id,カテゴリー名,サブカテゴリー名
"1662270153M030",ニット ,
"1662270153M150",ニット ,
"0172293010",,
"0172293010FR021",,
"0172293010FR031",,
"0172293010FR040",,
"1252270047",ニット ,
"1252270047FR031",ニット ,
"1252270047FR090",ニット ,
"0172240045",パンツ ,
"0172240045S021",パンツ ,
"0172240045M021",パンツ ,
"0172240045S040",パンツ ,
"0172240045M040",パンツ ,
"1212220907",スカート ,
"1212220907S020",スカート ,
"1212220907M020",スカート ,
"1212220907PS020",スカート ,
"1212220907PM020",スカート ,
"1212220907S051",スカート ,
"1212220907M051",スカート ,
"1212220907PS051",スカート ,
"1212220907PM051",スカート ,
"1212240008",ニット ワンピース ,
"1212240008S022",ニット ワンピース ,
"1212240008M022",ニット ワンピース ,
"1212240008PS022",ニット ワンピース ,
"1212240008S040",ニット ワンピース ,
"1212240008M040",ニット ワンピース ,
"1212240008PS040",ニット ワンピース ,
"1212240008S080",ニット ワンピース ,
"1212240008M080",ニット ワンピース ,
"1212240008PS080",ニット ワンピース ,
"1212240008S110",ニット ワンピース ,
"1212240008M110",ニット ワンピース ,
"1212240008PS110",ニット ワンピース ,
"1252220022",スカート ,
"1252220022S040",スカート ,
"1252220022M040",スカート ,
"0172270145",,
"0172270145M020",,
"0172270145M100",,
"0172270145M130",,
"1212220005",スカート ,
"1212220005S010",スカート ,
"1212220005M010",スカート ,
"1212220005PS010",スカート ,
"1212220005S121",スカート ,
"1212220005M121",スカート ,
"1212220005PS121",スカート ,
"0172240952",,
"0172240952S081",,
"0172240952M081",,
"0172240952PS081",,
"0172240952S112",,
"0172240952M112",,
"0172270906",,
"0172270906M020",,
"0172270906M040",,
"0172270906M080",,
"0172283002",バッグ ,
"0172283002-010",バッグ ,
"0172283002-150",バッグ ,
"0172282005",バッグ ,
"0172282005-032",バッグ ,
"0172282005-052",バッグ ,
"1252220034",スカート ,
"1252220034S010",スカート ,
"1252220034M010",スカート ,
"1252220034S090",スカート ,
"1252220034M090",スカート ,
"1252250008",ジャケット ブルゾン ,
"1252250008S040",ジャケット ブルゾン ,
"1252250008M040",ジャケット ブルゾン ,
"1252250008S041",ジャケット ブルゾン ,
"1252250008M041",ジャケット ブルゾン ,
"1212270005",ニット ,
"1212270005S031",ニット ,
"1212270005M031",ニット ,
"1212270005S040",ニット ,
"1212270005M040",ニット ,
"1212270005S070",ニット ,
"1212270005M070",ニット ,
"1212270005S120",ニット ,
"1212270005M120",ニット ,
"1212270009",ニット ,
"1212270009S010",ニット ,
"1212270009M010",ニット ,
"1212270009S032",ニット ,
"1212270009M032",ニット ,
"1212270009S070",ニット ,
"1212270009M070",ニット ,
"1212270009S130",ニット ,
"1212270009M130",ニット ,
"0172270954",ニット ,
"0172270954M040",ニット ,
"0172270954M080",ニット ,
"0172270954M150",ニット ,
"1252250006",ジャケット ,
"1252250006S031",ジャケット ,
"1252250006M031",ジャケット ,
"1252250006S090",ジャケット ,
"1252250006M090",ジャケット ,
"1252270042",ニット ,
"1252270042FR021",ニット ,
"1252270042FR030",ニット ,
"1252270042FR110",ニット ,
"1252270046",ニット ,
"1252270046FR010",ニット ,
"1252270046FR031",ニット ,
"1252270046FR070",ニット ,
"1252270046FR110",ニット ,
"1252240063",ブラウス ワンピース ,
"1252240063FR010",ブラウス ワンピース ,
"1252240063FR050",ブラウス ワンピース ,
"1252240063FR110",ブラウス ワンピース ,
"1252240063FR111",ブラウス ワンピース ,
"0172220081",,
"0172220081M010",,
"0172220081PS010",,
"0172220081M111",,
"0172220081PS111",,
"0172220144",スカート ,
"0172220144S021",スカート ,
"0172220144M021",スカート ,
"0172220144PS021",スカート ,
"0172220144S043",スカート ,
"0172220144M043",スカート ,
"0172220144PS043",スカート ,
"0172220144S080",スカート ,
"0172220144M080",スカート ,
"0172220144PS080",スカート ,
"0172210956",,
"0172210956S021",,
"0172210956M021",,
"0172210956S040",,
"0172210956M040",,
"0172210956S112",,
"0172210956M112",,
"0172270011",ニット ,
"0172270011M012",ニット ,
"0172270011M032",ニット ,
"0172270011M082",ニット ,
"0172220955",バック スカート ,
"0172220955S040",バック スカート ,
"0172220955M040",バック スカート ,
"0172220955PS040",バック スカート ,
"0172220955S081",バック スカート ,
"0172220955M081",バック スカート ,
"0172220955PS081",バック スカート ,
"0172220955S141",バック スカート ,
"0172220955M141",バック スカート ,
"0172220955PS141",バック スカート ,
"0172275070",,
"0172275070S021",,
"0172275070M021",,
"0172275070S031",,
"0172275070M031",,
"0172275980",,
"0172275980M020",,
"0172275980M031",,
"0172275980M080",,
"0172270081",,
"0172270081M021",,
"0172270081M031",,
"0172270081M041",,
"0172270081M081",,
"0172240010",,
"0172240010S021",,
"0172240010M021",,
"0172240010PS021",,
"0172240010S120",,
"0172240010M120",,
"0172240010PS120",,
"0172240010S150",,
"0172240010M150",,
"0172240010PS150",,
"0172220050",スカート ,
"0172220050XS012",スカート ,
"0172220050S012",スカート ,
"0172220050M012",スカート ,
"0172220050XS042",スカート ,
"0172220050S042",スカート ,
"0172220050M042",スカート ,
"0172220050XS052",スカート ,
"0172220050S052",スカート ,
"0172220050M052",スカート ,
"0172270956",ニット ,
"0172270956M031",ニット ,
"0172270956M040",ニット ,
"0172270956M130",ニット ,
"0172270956M150",ニット ,
"0172282904",,
"0172282904-032",,
"0172282904-052",,
"0172220045",スカート ,
"0172220045S012",スカート ,
"0172220045M012",スカート ,
"0172220045S052",スカート ,
"0172220045M052",スカート ,
"0172293012",,
"0172293012FR031",,
"0172293012FR080",,
"0172293012FR090",,
"1212240014",ニット ワンピース ,
"1212240014S010",ニット ワンピース ,
"1212240014M010",ニット ワンピース ,
"1212240014S031",ニット ワンピース ,
"1212240014M031",ニット ワンピース ,
"1212240014PS031",ニット ワンピース ,
"1212240014S040",ニット ワンピース ,
"1212240014M040",ニット ワンピース ,
"1212240014PS040",ニット ワンピース ,
"0172220055",スカート ,
"0172220055S021",スカート ,
"0172220055M021",スカート ,
"0172220055S043",スカート ,
"0172220055M043",スカート ,
"0172283001",バッグ ,
"0172283001-050",バッグ ,
"0172283001-110",バッグ ,
"0172287001",,
"0172287001S010",,
"0172287001M010",,
"0172287001L010",,
"0172287001S040",,
"0172287001M040",,
"0172287001L040",,
"1312230016",パンツ ,
"1312230016S010",パンツ ,
"1312230016M010",パンツ ,
"1312230016XS100",パンツ ,
"1312230016S100",パンツ ,
"1312230016M100",パンツ ,
"1312230016XS111",パンツ ,
"1312230016S111",パンツ ,
"1312230016M111",パンツ ,
"1312240044",スカート ,
"1312240044S010",スカート ,
"1312240044M010",スカート ,
"1312240044S020",スカート ,
"1312240044M020",スカート ,
"1312240044S060",スカート ,
"1312240044M060",スカート ,
"1312270070",ニット ,
"1312270070FR010",ニット ,
"1312270070FR030",ニット ,
"1312270070FR050",ニット ,
"1312270070FR110",ニット ,
"1212210900",ブラウス ,
"1212210900S121",ブラウス ,
"1212210900M121",ブラウス ,
"1662295952",,
"1662295952-010",,
"1662295952-040",,
"1212220027",,
"1212220027XS040",,
"1212220027S040",,
"1212220027M040",,
"1212220027XS080",,
"1212220027S080",,
"1212220027M080",,
"1212240021",,
"1212240021XS020",,
"1212240021S020",,
"1212240021M020",,
"1212240021XS051",,
"1212240021S051",,
"1212240021M051",,
"1212240021XS120",,
"1212240021S120",,
"1212240021M120",,
"0172247171",ニット ,
"0172247171M040",ニット ,
"0172247171PS040",ニット ,
"0172247171M050",ニット ,
"0172247171PS050",ニット ,
"0172247171M111",ニット ,
"0172247171PS111",ニット ,
"0172220141",スカート ,
"0172220141S012",スカート ,
"0172220141M012",スカート ,
"0172220141PS012",スカート ,
"0172220141S052",スカート ,
"0172220141M052",スカート ,
"0172220141PS052",スカート ,
"0172220141S062",スカート ,
"0172220141M062",スカート ,
"0172220141PS062",スカート ,
"0172240142",,
"0172240142S042",,
"0172240142M042",,
"0172240142PS042",,
"0172240142S122",,
"0172240142M122",,
"0172240142PS122",,
"1252240038",ニット ,
"1252240038FR010",ニット ,
"1252240038FR090",ニット ,
"1252240038FR110",ニット ,
"0172240050",,
"0172240050S022",,
"0172240050M022",,
"0172240050S052",,
"0172240050M052",,
"0172210941",ブラウス ,
"0172210941M022",ブラウス ,
"0172210941S032",ブラウス ,
"0172210941M032",ブラウス ,
"0172210941S042",ブラウス ,
"0172210941M042",ブラウス ,
"0172220140",スカート ,
"0172220140S043",スカート ,
"0172220140M043",スカート ,
"0172220140S151",スカート ,
"0172220140M151",スカート ,
"0172252105",コート ,
"0172252105S010",コート ,
"0172252105M010",コート ,
"0172252105S031",コート ,
"0172252105M031",コート ,
"0172270107",ニット ,
"0172270107M031",ニット ,
"0172270107M060",ニット ,
"0172270107M111",ニット ,
"0172270107M140",ニット ,
"1662240950",スカート ,
"1662240950FR010",スカート ,
"1662240950FR020",スカート ,
"1662240950FR050",スカート ,
"1212230002",パンツ ,
"1212230002S032",パンツ ,
"1212230002M032",パンツ ,
"1212230002S040",パンツ ,
"1212230002M040",パンツ ,
"1212230002S050",パンツ ,
"1212230002M050",パンツ ,
"1212270020",ニット ,
"1212270020S010",ニット ,
"1212270020M010",ニット ,
"1212270020S020",ニット ,
"1212270020M020",ニット ,
"1212270020S080",ニット ,
"1212270020M080",ニット ,
"1212277001",,
"1212277001FR051",,
"1212277001FR130",,
"0172247042",ニット ワンピース ,
"0172247042M020",ニット ワンピース ,
"0172247042PS020",ニット ワンピース ,
"0172247042M051",ニット ワンピース ,
"0172247042PS051",ニット ワンピース ,
"0172247042M111",ニット ワンピース ,
"0172247042PS111",ニット ワンピース ,
"0172270103",ニット ,
"0172270103M031",ニット ,
"0172270103M040",ニット ,
"0172270103M060",ニット ,
"0172270103M110",ニット ,
"0172270143",,
"0172270143M010",,
"0172270143M020",,
"0172270143M031",,
"0172270143M050",,
"0172270143M110",,
"0172275140",,
"0172275140M020",,
"0172275140M040",,
"0172275140M150",,
"1312292023",,
"1312292023-030",,
"1312292023-040",,
"1312270047",ニット ,
"1312270047FR031",ニット ,
"1312270047FR050",ニット ,
"1312270047FR060",ニット ,
"1312292021",,
"1312292021-020",,
"1312292021-030",,
"1312292021-050",,
"1312292021-120",,
"0172220053",スカート ,
"0172220053XS010",スカート ,
"0172220053S010",スカート ,
"0172220053M010",スカート ,
"0172220053XS051",スカート ,
"0172220053S051",スカート ,
"0172220053M051",スカート ,
"0172220053XS060",スカート ,
"0172220053S060",スカート ,
"0172220053M060",スカート ,
"0172220053XS081",スカート ,
"0172220053S081",スカート ,
"0172220053M081",スカート ,
"1212220007",スカート ,
"1212220007S010",スカート ,
"1212220007M010",スカート ,
"1212220007PS010",スカート ,
"1212220007PM010",スカート ,
"1212220007S022",スカート ,
"1212220007M022",スカート ,
"1212220007PS022",スカート ,
"1212220007PM022",スカート ,
"1212220007S080",スカート ,
"1212220007M080",スカート ,
"1212220007PS080",スカート ,
"1212220007PM080",スカート ,
"0172240080",,
"0172240080S010",,
"0172240080M010",,
"0172240080S110",,
"0172240080M110",,
"1212270002",ニット ,
"1212270002S020",ニット ,
"1212270002M020",ニット ,
"1212270002S031",ニット ,
"1212270002M031",ニット ,
"1212270002S070",ニット ,
"1212270002M070",ニット ,
"1212270002S110",ニット ,
"1212270002M110",ニット ,
"1212270013",ニット ,
"1212270013FR010",ニット ,
"1212270013FR031",ニット ,
"1212270013FR130",ニット ,
"1212270017",ニット ,
"1212270017FR031",ニット ,
"1212270017FR040",ニット ,
"1212270017FR080",ニット ,
"1212270017FR130",ニット ,
"1212270024",ニット ,
"1212270024FR020",ニット ,
"1212270024FR030",ニット ,
"1212270024FR110",ニット ,
"1252251011",コート ,
"1252251011P021",コート ,
"1252251011S021",コート ,
"1252251011M021",コート ,
"1252251011P091",コート ,
"1252251011S091",コート ,
"1252251011M091",コート ,
"0172270104",ニット ,
"0172270104M040",ニット ,
"0172270104M090",ニット ,
"0172270104M091",ニット ,
"0172270104M111",ニット ,
"0172210010",ブラウス ,
"0172210010S031",ブラウス ,
"0172210010M031",ブラウス ,
"0172210010S061",ブラウス ,
"0172210010M061",ブラウス ,
"0172210010S120",ブラウス ,
"0172210010M120",ブラウス ,
"0172247010",,
"0172247010M021",,
"0172247010PS021",,
"0172247010M050",,
"0172247010PS050",,
"0172247010M110",,
"0172247010PS110",,
"0172270012",,
"0172270012M021",,
"0172270012M031",,
